Pos	Num	Player Name                   	Status	TCKL	SCK	INT	Team
CB	43	Davis, Michael                	ACT	50	0.0	--	LAC
FS	21	Davis, Sean                   	ACT	80	0.0	1	PIT
DB	29	Dawson, Duke                  	ACT	0	--	--	NE
CB	38	Deayon, Donte'                	ACT	6	0.0	--	LA
DB	34	Decoud, Treston               	ACT	0	--	--	DAL
DB	37	Delaney, Dee                  	ACT	0	--	--	MIA
DB	21	Dennard, Darqueze             	ACT	68	0.0	--	CIN
CB	35	Desir, Pierre                 	ACT	79	0.0	1	IND
SS	28	Diggs, Quandre                	ACT	78	0.0	3	DET
CB	43	Dorleant, Makinton            	ACT	--	--	--	OAK
CB	31	Doss, Lorenzo                 	ACT	1	0.0	--	CAR
CB	32	Douglas, Rasul                	ACT	58	0.0	3	PHI
CB	23	Dunbar, Quinton               	ACT	39	0.0	2	WAS
DB	20	Durden, Kenneth               	ACT	0	--	--	TEN
DB	43	Ebner, Nate                   	ACT	13	0.0	--	NE
SS	34	Edmunds, Terrell              	ACT	78	1.0	1	PIT
CB	35	Elder, Corn                   	ACT	3	0.0	--	CAR
DB	21	Elliott, DeShon               	ACT	--	--	--	BAL
CB	35	Elliott, Javien               	UFA	24	0.0	1	TB
SS	21	Evans, Justin                 	ACT	59	0.0	1	TB
DB	25	Evans, Marwin                 	ACT	--	--	--	SEA
DB	22	Everett, Deshazor             	ACT	26	0.0	1	WAS
SS	38	Exum, Antone                  	ACT	40	1.0	1	SF
DB	36	Facyson, Brandon              	ACT	3	0.0	--	LAC
DB	29	Fant, Rashard                 	ACT	--	--	--	CHI
DB	41	Farley, Matthias              	ACT	19	0.0	1	IND
DB	42	Fejedelem, Clayton            	ACT	35	0.0	--	CIN
FS	29	Fitzpatrick, Minkah           	ACT	80	0.0	2	MIA
CB	37	Flowers, Tre                  	ACT	67	0.0	--	SEA
DB	30	Ford, Rudy                    	ACT	9	0.0	--	ARI
DB	38	Ford, Mike                    	ACT	25	0.0	--	DET
DB	43	Franklin, John                	ACT	--	--	--	CHI
FS	35	Frazier, Kavon                	ACT	23	1.0	--	DAL
CB	23	Fuller, Kendall               	ACT	82	0.0	2	KC
CB	23	Fuller, Kyle                  	ACT	55	0.0	7	CHI
CB	28	Gaines, E.J.                  	ACT	13	0.0	1	BUF
CB	33	Gaines, Phillip               	ACT	39	0.0	0	CLE
DB	28	Gaulden, Rashaan              	ACT	17	0.0	--	CAR
SS	26	Geathers, Clayton             	ACT	89	0.0	--	IND
SS	31	Gilchrist, Marcus             	UFA	58	0.0	3	OAK
CB	24	Gilmore, Stephon              	ACT	45	1.0	2	NE
FS	39	Gipson, Tashaun               	ACT	54	0.0	1	HOU
DB	39	Golden, Malik                 	UFA	--	--	--	PIT
DB	29	Goodwin, C.J.                 	ACT	1	0.0	--	DAL
FS	24	Graham, Corey                 	UFA	56	0.0	1	PHI
DB	48	Gray, J.T.                    	ACT	2	0.0	--	NO
DB	36	Greene, Raven                 	ACT	5	1.0	--	GB
CB	26	Griffin, Shaquill             	ACT	62	0.0	2	SEA
CB	24	Grimes, Brent                 	UFA	48	0.0	--	TB
CB	23	Haden, Joe                    	ACT	63	0.0	2	PIT
CB	27	Hairston, Nate                	ACT	30	0.0	--	IND
DB	34	Haley, Grant                  	ACT	33	0.0	--	NYG
DB	36	Hall, Deiondre'               	ACT	4	0.0	--	PHI
DB	29	Hall, Leon                    	UFA	25	0.0	--	OAK
CB	30	Hamilton, Antonio             	ACT	6	0.0	--	NYG
DB	34	Hardee, Justin                	ACT	19	0.0	1	NO
CB	28	Hargreaves, Vernon            	ACT	7	0.0	--	TB
SS	21	Harmon, Duron                 	ACT	38	0.0	4	NE
DB	41	Harris, Anthony               	ACT	46	0.0	3	MIN
CB	25	Harris, Chris                 	ACT	49	1.0	3	DEN
CB	35	Harris, Davontae              	ACT	1	0.0	--	CIN
CB	22	Harris, De'Vante              	ACT	9	0.0	--	TB
FS	25	Harris, Erik                  	ACT	49	0.0	2	OAK
DB	36	Harris, Marcell               	ACT	34	0.0	--	SF
DB	36	Harrison, Ronnie              	ACT	32	1.0	1	JAX
CB	36	Hatfield, Dominique           	ACT	1	0.0	--	LA
CB	48	Hawkins, Josh                 	ACT	0	0.0	0	PHI
DB	25	Hayden, D.J.                  	ACT	46	1.0	1	JAX
CB	26	Hayward, Casey                	ACT	46	0.0	--	LAC
