Pos	Num	Player Name                   	Status	TCKL	SCK	INT	Team
CB	20	Ward, Jimmie                  	ACT	24	0.0	--	SF
DB	45	Washington, Charles           	ACT	6	0.0	--	DET
CB	26	Waters, Herb                  	ACT	--	--	--	PIT
DB	27	Watkins, Jaylen               	ACT	--	--	--	LAC
DB	25	Watts, Armani                 	ACT	5	1.0	--	KC
CB	26	Waynes, Trae                  	ACT	44	0.0	1	MIN
DB	35	Webb, Damon                   	ACT	--	--	--	TEN
CB	23	Webb, B.W.                    	ACT	59	1.0	1	CIN
DB	36	Webster, Kayvon               	UFA	1	0.0	--	HOU
FS	32	Weddle, Eric                  	ACT	68	1.0	--	LA
CB	27	White, Tre'Davious            	ACT	54	0.0	2	BUF
DB	35	Whitehead, Jermaine           	ACT	24	1.0	0	CLE
FS	31	Whitehead, Jordan             	ACT	76	0.0	--	TB
DB	37	Wilcox, J.J.                  	ACT	7	0.0	0	ATL
CB	26	Williams, Brandon             	ACT	10	0.0	--	ARI
DB	27	Williams, Darious             	ACT	0	0.0	0	LA
DB	24	Williams, K'Waun              	ACT	45	0.0	--	SF
CB	26	Williams, P.J.                	ACT	53	1.0	1	NO
FS	43	Williams, Marcus              	ACT	59	1.0	2	NO
DB	31	Williams, Marcus              	UFA	4	0.0	0	CHI
SS	36	Williams, Shawn               	ACT	110	1.0	5	CIN
DB	6	Williams, Terrell             	ACT	--	--	--	SF
CB	38	Williams, Tramon              	ACT	54	0.0	--	GB
CB	24	Williams, Trevor              	ACT	23	0.0	1	LAC
DB	40	Wilson, Brandon               	ACT	11	0.0	--	CIN
DB	26	Wilson, Jarrod                	ACT	21	0.0	--	JAX
CB	31	Wilson, Quincy                	ACT	28	0.0	1	IND
DB	32	Wilson, Tavon                 	ACT	36	1.0	--	DET
CB	22	Wiltz, Jomal                  	ACT	--	--	--	MIA
CB	23	Witherspoon, Ahkello          	ACT	37	0.0	--	SF
FS	25	Woods, Xavier                 	ACT	56	0.0	2	DAL
CB	20	Worley, Daryl                 	ACT	33	0.0	1	OAK
DB	33	Wreh-Wilson, Blidi            	ACT	4	0.0	--	ATL
DB	43	Wright, Shareece              	UFA	32	0.0	--	HOU
CB	41	Yiadom, Isaac                 	ACT	20	0.0	1	DEN
CB	25	Young, Tavon                  	ACT	37	2.0	1	BAL
CB	29	Zamort, Ronald                	ACT	--	--	--	NYG
